"Ativo","Data (EX-1)","Descrição","Fator"
"ABEV3<XBSP>","2019-12-19","Juros sobre o capital próprio de $0.4906 por ação",0.97440792906
"AZUL4<XBSP>",,,
"BTOW3<XBSP>","2019-08-22","Subscrição de 0.14009 ações a $39.00 por cada possuída",0.98841403584
"B3SA3<XBSP>","2019-03-26","Juros sobre o capital próprio de $0.19295 por ação",0.99420568979
"B3SA3<XBSP>","2019-06-25","Juros sobre o capital próprio de $0.19047 por ação",0.99494239299
"B3SA3<XBSP>","2019-07-04","Dividendo de $0.1032 por ação",0.99740303875
"B3SA3<XBSP>","2019-09-24","Dividendo de $0.12942 por ação",0.99707855056
"B3SA3<XBSP>","2019-09-24","Juros sobre o capital próprio de $0.18819 por ação",0.99573949604
"B3SA3<XBSP>","2019-12-30","Dividendo de $0.16373 por ação",0.99618975518
"B3SA3<XBSP>","2019-12-30","Juros sobre o capital próprio de $0.19012 por ação",0.99555864379
"BBSE3<XBSP>","2019-02-14","Dividendo de $0.67719 por ação",0.97637154815
"BBSE3<XBSP>","2019-02-14","Dividendo de $0.0053556 por ação",0.99980861128
"BBSE3<XBSP>","2019-08-09","Dividendo de $0.89068 por ação",0.97487493707
"BBSE3<XBSP>","2019-08-09","Dividendo de $0.0065015 por ação",0.99981187316
"BBSE3<XBSP>","2020-01-09","Amortização de $1.3523 por cada título",0.96459025617
"BBSE3<XBSP>","2020-02-13","Dividendo de $0.0099919 por ação",0.99973169017
"BBSE3<XBSP>","2020-02-13","Dividendo de $1.8984 por ação",0.94900929571
"BRML3<XBSP>","2019-03-28","Juros sobre o capital próprio de $0.065234 por ação",0.9947603549
"BRML3<XBSP>","2019-04-30","Dividendo de $0.083295 por ação",0.99322805028
"BRML3<XBSP>","2019-08-07","Dividendo de $0.62436 por ação",0.9595886503
"BRML3<XBSP>","2019-08-07","Juros sobre o capital próprio de $0.20163 por ação",0.98639984467
"BBDC3<XBSP>","2019-01-02","Juros sobre o capital próprio de $0.01725 por ação",0.99951775717
"BBDC3<XBSP>","2019-02-01","Juros sobre o capital próprio de $0.01725 por ação",0.99956636938
"BBDC3<XBSP>","2019-03-01","Juros sobre o capital próprio de $0.01725 por ação",0.99953877471
"BBDC3<XBSP>","2019-03-29","Bonificação de 0.20 novas ações por cada possuída",0.83333333333
"BBDC3<XBSP>","2019-04-01","Juros sobre o capital próprio de $0.01725 por ação",0.99945411943
"BBDC3<XBSP>","2019-05-02","Juros sobre o capital próprio de $0.01725 por ação",0.99944569968
"BBDC3<XBSP>","2019-06-03","Juros sobre o capital próprio de $0.01725 por ação",0.99947360922
"BBDC3<XBSP>","2019-06-28","Juros sobre o capital próprio de $0.17254 por ação",0.99484195901
"BBDC3<XBSP>","2019-07-01","Juros sobre o capital próprio de $0.01725 por ação",0.99948507982
"BBDC3<XBSP>","2019-08-01","Juros sobre o capital próprio de $0.01725 por ação",0.99944066712
"BBDC3<XBSP>","2019-09-02","Juros sobre o capital próprio de $0.01725 por ação",0.9994176291
"BBDC3<XBSP>","2019-10-01","Juros sobre o capital próprio de $0.01725 por ação",0.99944319477
"BBDC3<XBSP>","2019-10-17","Dividendo de $0.94865 por ação",0.97098029569
"BBDC3<XBSP>","2019-11-01","Juros sobre o capital próprio de $0.01725 por ação",0.99946907276
"BBDC3<XBSP>","2019-12-02","Juros sobre o capital próprio de $0.01725 por ação",0.99945342839
"BBDC3<XBSP>","2019-12-19","Juros sobre o capital próprio de $0.50338 por ação",0.98532420991
"BBDC3<XBSP>","2020-01-02","Juros sobre o capital próprio de $0.01725 por ação",0.99951326676
"BBDC3<XBSP>","2020-02-03","Juros sobre o capital próprio de $0.01725 por ação",0.99945377372
"BBDC3<XBSP>","2020-02-17","Dividendo de $0.058214 por ação",0.99809134548
"BBDC3<XBSP>","2020-03-02","Juros sobre o capital próprio de $0.01725 por ação",0.99937523267
"BBDC4<XBSP>","2019-01-02","Juros sobre o capital próprio de $0.018975 por ação",0.99953021023
"BBDC4<XBSP>","2019-02-01","Juros sobre o capital próprio de $0.018975 por ação",0.99957550763
"BBDC4<XBSP>","2019-03-01","Juros sobre o capital próprio de $0.018975 por ação",0.99955405854
"BBDC4<XBSP>","2019-03-29","Bonificação de 0.20 novas ações por cada possuída",0.83333333333
"BBDC4<XBSP>","2019-04-01","Juros sobre o capital próprio de $0.018975 por ação",0.99947394486
"BBDC4<XBSP>","2019-05-02","Juros sobre o capital próprio de $0.018975 por ação",0.99946699975
"BBDC4<XBSP>","2019-06-03","Juros sobre o capital próprio de $0.018975 por ação",0.99948549867
"BBDC4<XBSP>","2019-06-28","Juros sobre o capital próprio de $0.18979 por ação",0.99497111505
"BBDC4<XBSP>","2019-07-01","Juros sobre o capital próprio de $0.018975 por ação",0.99949575315
"BBDC4<XBSP>","2019-08-01","Juros sobre o capital próprio de $0.018975 por ação",0.99944518102
"BBDC4<XBSP>","2019-09-02","Juros sobre o capital próprio de $0.018975 por ação",0.99941812913
"BBDC4<XBSP>","2019-10-01","Juros sobre o capital próprio de $0.018975 por ação",0.99943291067
"BBDC4<XBSP>","2019-10-17","Dividendo de $1.0435 por ação",0.9701851558
"BBDC4<XBSP>","2019-11-01","Juros sobre o capital próprio de $0.018975 por ação",0.99945584144
"BBDC4<XBSP>","2019-12-02","Juros sobre o capital próprio de $0.018975 por ação",0.99943510542
"BBDC4<XBSP>","2019-12-19","Juros sobre o capital próprio de $0.55372 por ação",0.98480884609
"BBDC4<XBSP>","2020-01-02","Juros sobre o capital próprio de $0.018975 por ação",0.99949413999
"BBDC4<XBSP>","2020-02-03","Juros sobre o capital próprio de $0.018975 por ação",0.99942674293
"BBDC4<XBSP>","2020-02-17","Dividendo de $0.064035 por ação",0.99801502297
"BBDC4<XBSP>","2020-03-02","Juros sobre o capital próprio de $0.018975 por ação",0.9993867224
"BRAP4<XBSP>","2019-04-30","Dividendo de $0.12826 por ação",0.99597924777
"BRAP4<XBSP>","2019-04-30","Juros sobre o capital próprio de $0.46666 por ação",0.98531216048
"BRAP4<XBSP>","2019-12-27","Juros sobre o capital próprio de $0.79928 por ação",0.97959454613
"BBAS3<XBSP>","2019-02-21","Juros sobre o capital próprio de $0.58537 por ação",0.98899683728
"BBAS3<XBSP>","2019-02-21","Juros sobre o capital próprio de $0.0053561 por ação",0.99989820222
"BBAS3<XBSP>","2019-03-11","Juros sobre o capital próprio de $0.15612 por ação",0.99709805317
"BBAS3<XBSP>","2019-05-21","Juros sobre o capital próprio de $0.41484 por ação",0.99157345672
"BBAS3<XBSP>","2019-06-11","Juros sobre o capital próprio de $0.17105 por ação",0.9967664558
"BBAS3<XBSP>","2019-08-21","Juros sobre o capital próprio de $0.44141 por ação",0.99067765256
"BBAS3<XBSP>","2019-08-21","Juros sobre o capital próprio de $0.004032 por ação",0.99991404543
"BBAS3<XBSP>","2019-09-11","Juros sobre o capital próprio de $0.23296 por ação",0.99514574969
"BBAS3<XBSP>","2019-11-21","Juros sobre o capital próprio de $0.36504 por ação",0.99212931993
"BBAS3<XBSP>","2019-12-11","Juros sobre o capital próprio de $0.17617 por ação",0.99631820266
"BBAS3<XBSP>","2020-02-21","Juros sobre o capital próprio de $0.43567 por ação",0.99114852312
"BBAS3<XBSP>","2020-02-21","Juros sobre o capital próprio de $0.0027173 por ação",0.9999442998
"BBAS3<XBSP>","2020-03-11","Juros sobre o capital próprio de $0.18142 por ação",0.99498699841
"BRKM5<XBSP>","2019-10-03","Dividendo de $0.83862 por ação",0.97260306998
"BRFS3<XBSP>",,,
"BPAC11<XBSP>","2019-01-07","Juros sobre o capital próprio de $0.23089 por ação",0.97472036577
"BPAC11<XBSP>","2019-08-08","Juros sobre o capital próprio de $0.23834 por ação",0.98898295975
"BPAC11<XBSP>","2020-01-06","Juros sobre o capital próprio de $0.20681 por ação",0.99177706728
"CRFB3<XBSP>","2019-05-21","Juros sobre o capital próprio de $0.045372 por ação",0.99778132391
"CRFB3<XBSP>","2019-08-21","Juros sobre o capital próprio de $0.11844 por ação",0.9948658998
"CRFB3<XBSP>","2019-08-21","Juros sobre o capital próprio de $0.11844 por ação",0.99483940479
"CCRO3<XBSP>","2019-05-07","Dividendo de $0.29703 por ação",0.97565330303
"CCRO3<XBSP>","2019-10-18","Dividendo de $0.46535 por ação",0.97403200141
"CMIG4<XBSP>","2019-05-03","Dividendo de $0.4508 por ação",0.9688460255
"CMIG4<XBSP>","2019-12-23","Juros sobre o capital próprio de $0.13716 por ação",0.98998860142
"CMIG4<XBSP>","2019-12-23","Juros sobre o capital próprio de $0.13716 por ação",0.98988735975
"HGTX3<XBSP>","2019-01-03","Juros sobre o capital próprio de $0.2478 por ação",0.99190725016
"HGTX3<XBSP>","2019-04-04","Juros sobre o capital próprio de $0.1423 por ação",0.99519743503
"HGTX3<XBSP>","2019-05-16","Juros sobre o capital próprio de $0.1268 por ação",0.99568707483
"HGTX3<XBSP>","2019-08-07","Dividendo de $0.3088 por ação",0.99103628447
"HGTX3<XBSP>","2019-09-26","Juros sobre o capital próprio de $0.12 por ação",0.99635811836
"HGTX3<XBSP>","2019-12-16","Juros sobre o capital próprio de $0.112 por ação",0.99671554252
"CIEL3<XBSP>","2019-02-22","Dividendo de $0.2614 por ação",0.97696918474
"CIEL3<XBSP>","2019-03-28","Juros sobre o capital próprio de $0.054471 por ação",0.99430812476
"CIEL3<XBSP>","2019-06-11","Dividendo de $0.079959 por ação",0.98788499619
"CIEL3<XBSP>","2019-06-27","Juros sobre o capital próprio de $0.049419 por ação",0.99282749395
"CIEL3<XBSP>","2019-09-12","Dividendo de $0.0026518 por ação",0.99965605498
"CIEL3<XBSP>","2019-09-12","Juros sobre o capital próprio de $737/M por ação",0.99990434181
"CIEL3<XBSP>","2019-09-24","Juros sobre o capital próprio de $0.02879 por ação",0.99664447177
"CIEL3<XBSP>","2019-11-05","Juros sobre o capital próprio de $0.015483 por ação",0.9979077543
"CIEL3<XBSP>","2019-12-30","Juros sobre o capital próprio de $0.021049 por ação",0.99748518662
"CIEL3<XBSP>","2020-01-30","Juros sobre o capital próprio de $0.0089124 por ação",0.99874296494
"COGN3<XBSP>","2019-04-04","Dividendo de $0.026388 por ação",0.99757019036
"COGN3<XBSP>","2019-05-21","Dividendo de $0.055537 por ação",0.99415398037
"COGN3<XBSP>","2019-08-20","Dividendo de $0.033692 por ação",0.99697283285
"COGN3<XBSP>","2019-11-19","Dividendo de $0.0047389 por ação",0.9995381226
"CSAN3<XBSP>","2019-05-02","Dividendo de $0.99977 por ação",0.97860996498
"CVCB3<XBSP>","2019-04-30","Dividendo de $0.0261 por ação",0.99954041678
"CVCB3<XBSP>","2019-12-23","Juros sobre o capital próprio de $0.41738 por ação",0.99039627699
"CYRE3<XBSP>","2019-07-10","Dividendo de $0.78038 por ação",0.96729322531
"CYRE3<XBSP>","2019-12-10","Dividendo de $1.0405 por ação",0.96410791566
"ECOR3<XBSP>",,,
"ELET3<XBSP>","2019-04-29","Dividendo de $0.81057 por ação",0.97547438477
"ELET3<XBSP>","2019-04-29","Dividendo de $0.016325 por ação",0.99949363847
"ELET3<XBSP>","2019-11-14","Subscrição de 0.20472 ações a $35.72 por cada possuída",0.9996202615
"ELET6<XBSP>","2019-04-29","Dividendo de $1.3886 por ação",0.96120037513
"ELET6<XBSP>","2019-04-29","Dividendo de $0.027967 por ação",0.99918703797
"EMBR3<XBSP>",,,
"ENBR3<XBSP>","2019-04-16","Dividendo de $0.061339 por ação",0.99639606351
"ENBR3<XBSP>","2019-12-30","Juros sobre o capital próprio de $0.39021 por ação",0.98234354131
"EGIE3<XBSP>","2019-05-06","Dividendo de $0.094007 por ação",0.9977963685
"EGIE3<XBSP>","2019-12-02","Dividendo de $1.0949 por ação",0.97662860636
"EGIE3<XBSP>","2019-12-02","Juros sobre o capital próprio de $0.43386 por ação",0.99051772542
"EQTL3<XBSP>","2019-04-30","Dividendo de $0.95 por ação",0.98842874543
"EQTL3<XBSP>","2019-11-27","Desdobramento: Cada ação será substituída p/ 5.00 novas ações",0.2
"FLRY3<XBSP>","2019-01-02","Juros sobre o capital próprio de $0.12696 por ação",0.99369924477
"FLRY3<XBSP>","2019-03-06","Dividendo de $0.68743 por ação",0.96562843154
"FLRY3<XBSP>","2019-07-30","Juros sobre o capital próprio de $0.20027 por ação",0.99152115096
"FLRY3<XBSP>","2020-01-02","Juros sobre o capital próprio de $0.11248 por ação",0.99637396532
"FLRY3<XBSP>","2020-02-26","Dividendo de $0.62428 por ação",0.97925967978
"GGBR4<XBSP>","2019-03-06","Dividendo de $0.10 por ação",0.99334664005
"GGBR4<XBSP>","2019-05-17","Dividendo de $0.07 por ação",0.99490538574
"GGBR4<XBSP>","2019-08-16","Dividendo de $0.07 por ação",0.99447949527
"GGBR4<XBSP>","2019-11-11","Dividendo de $0.04 por ação",0.99738219895
"GGBR4<XBSP>","2020-02-28","Dividendo de $0.03 por ação",0.99822799764
"GOAU4<XBSP>","2019-03-06","Dividendo de $0.05 por ação",0.99298737728
"GOAU4<XBSP>","2019-05-17","Dividendo de $0.04 por ação",0.99375975039
"GOAU4<XBSP>","2019-08-16","Dividendo de $0.04 por ação",0.99363057325
"GOAU4<XBSP>","2019-11-11","Dividendo de $0.02 por ação",0.99719101124
"GOAU4<XBSP>","2020-02-28","Dividendo de $0.02 por ação",0.99748427673
"GOLL4<XBSP>",,,
"NTCO3<XBSP>","2019-01-04","Juros sobre o capital próprio de $0.25875 por ação",0.99452966388
"NTCO3<XBSP>","2019-02-26","Dividendo de $0.13155 por ação",0.99732085053
"NTCO3<XBSP>","2019-09-17","Bonificação de 1.00 novas ações por cada possuída",0.5
"NTCO3<XBSP>","2019-11-06","Juros sobre o capital próprio de $0.12785 por ação",0.99595554339
"HAPV3<XBSP>","2019-04-22","Dividendo de $0.12165 por ação",0.99576121181
"HAPV3<XBSP>","2019-07-02","Juros sobre o capital próprio de $0.15536 por ação",0.99582474464
"HAPV3<XBSP>","2020-01-03","Juros sobre o capital próprio de $0.15969 por ação",0.99769403542
"HYPE3<XBSP>","2019-04-11","Juros sobre o capital próprio de $0.22835 por ação",0.99095285262
"HYPE3<XBSP>","2019-04-11","Juros sobre o capital próprio de $0.02637 por ação",0.99894569131
"HYPE3<XBSP>","2019-07-02","Juros sobre o capital próprio de $0.25562 por ação",0.99127576792
"HYPE3<XBSP>","2019-10-02","Juros sobre o capital próprio de $0.25537 por ação",0.99216656442
